"Position","Track.Name","Artist","Streams","songId","Month","Region"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-03-01","bo"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-03-01","bo"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-03-01","bo"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-03-01","bo"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-03-01","bo"
11,"Báilame","Nacho",0,"7lRsNbdOGykkMAgsqs4R1C","2017-03-01","bo"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-03-01","bo"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-03-01","bo"
11,"Besándote","Piso 21",0,"13X0XdLMOdtbXVtAj2ox4h","2017-03-01","bo"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-03-01","bo"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-03-01","bo"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-03-01","bo"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-03-01","bo"
11,"Suena El Dembow","Joey Montana",0,"5TysCiZtv1HnSWcTcUFusI","2017-03-01","bo"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-03-01","bo"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-03-01","bo"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-03-01","bo"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-03-01","bo"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-03-01","bo"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-03-01","bo"
11,"Downtown","Anitta",0,"3Ga6eKrUFf12ouh9Yw3v2D","2017-03-01","bo"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",235839,"4aWmUDTfIPGksMNLV2rQP2","2017-04-01","bo"
2,"Me Rehúso","Danny Ocean",227261,"6De0lHrwBfPfrhorm9q1Xl","2017-04-01","bo"
3,"Shape of You","Ed Sheeran",201663,"7qiZfU4dY1lWllzX7mPBI3","2017-04-01","bo"
4,"El Amante","Nicky Jam",161929,"3umS4y3uQDkqekNjVpiRUs","2017-04-01","bo"
5,"SUBEME LA RADIO","Enrique Iglesias",153215,"7nKBxz47S9SD79N086fuhn","2017-04-01","bo"
6,"Despacito - Remix","Luis Fonsi",136135,"5CtI0qwDJkDQGwXD1H1cLb","2017-04-01","bo"
7,"Otra Vez (feat. J Balvin)","Zion & Lennox",128051,"3QwBODjSEzelZyVjxPOHdq","2017-04-01","bo"
8,"Sigo Extrañándote","J Balvin",128650,"6qDF4wWL49CAVbgT7yuHl8","2017-04-01","bo"
9,"Felices los 4","Maluma",79122,"0qYTZCo5Bwh1nsUFGZP3zn","2017-04-01","bo"
10,"Reggaetón Lento (Bailemos)","CNCO",96169,"3AEZUABDXNtecAOSC1qTfo","2017-04-01","bo"
11,"Chantaje","Shakira",0,"6mICuAdrwEjh6Y6lroV2Kg","2017-04-01","bo"
11,"Traicionera","Sebastian Yatra",0,"5J1c3M4EldCfNxXwrwt8mT","2017-04-01","bo"
11,"Corazón","Maluma",0,"4lESS6vuruP6a79KWRaQou","2017-04-01","bo"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-04-01","bo"
11,"Safari","J Balvin",0,"6rQSrBHf7HlZjtcMZ4S4bO","2017-04-01","bo"
11,"Vacaciones","Wisin",0,"3dQDid3IUNhZy1OehIfYfE","2017-04-01","bo"
11,"Me Llamas (feat. Maluma) - Remix","Piso 21",0,"5hEM0JchdVzQ5PwvSfITeX","2017-04-01","bo"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-04-01","bo"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-04-01","bo"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-04-01","bo"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-04-01","bo"
11,"Báilame","Nacho",0,"7lRsNbdOGykkMAgsqs4R1C","2017-04-01","bo"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-04-01","bo"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-04-01","bo"
11,"Besándote","Piso 21",0,"13X0XdLMOdtbXVtAj2ox4h","2017-04-01","bo"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-04-01","bo"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-04-01","bo"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-04-01","bo"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-04-01","bo"
11,"Suena El Dembow","Joey Montana",0,"5TysCiZtv1HnSWcTcUFusI","2017-04-01","bo"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-04-01","bo"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-04-01","bo"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-04-01","bo"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-04-01","bo"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-04-01","bo"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-04-01","bo"
11,"Downtown","Anitta",0,"3Ga6eKrUFf12ouh9Yw3v2D","2017-04-01","bo"
1,"Felices los 4","Maluma",371498,"0qYTZCo5Bwh1nsUFGZP3zn","2017-05-01","bo"
2,"Me Rehúso","Danny Ocean",223851,"6Zosz8w6CmdGMZM6p4JlbQ","2017-05-01","bo"
3,"Hey DJ","CNCO",187479,"209gZgcfLq2aUuu51vOWBl","2017-05-01","bo"
4,"Shape of You","Ed Sheeran",182416,"7qiZfU4dY1lWllzX7mPBI3","2017-05-01","bo"
5,"Despacito - Remix","Luis Fonsi",172003,"5CtI0qwDJkDQGwXD1H1cLb","2017-05-01","bo"
6,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",165512,"4aWmUDTfIPGksMNLV2rQP2","2017-05-01","bo"
7,"Escápate Conmigo","Wisin",163003,"2cnKEkpVUSV4wnjQiTWfH6","2017-05-01","bo"
8,"El Amante","Nicky Jam",151680,"3umS4y3uQDkqekNjVpiRUs","2017-05-01","bo"
9,"SUBEME LA RADIO","Enrique Iglesias",125095,"7nKBxz47S9SD79N086fuhn","2017-05-01","bo"
10,"Sigo Extrañándote","J Balvin",136219,"6qDF4wWL49CAVbgT7yuHl8","2017-05-01","bo"
11,"Reggaetón Lento (Bailemos)","CNCO",0,"3AEZUABDXNtecAOSC1qTfo","2017-05-01","bo"
11,"Chantaje","Shakira",0,"6mICuAdrwEjh6Y6lroV2Kg","2017-05-01","bo"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-05-01","bo"
11,"Traicionera","Sebastian Yatra",0,"5J1c3M4EldCfNxXwrwt8mT","2017-05-01","bo"
11,"Otra Vez (feat. J Balvin)","Zion & Lennox",0,"3QwBODjSEzelZyVjxPOHdq","2017-05-01","bo"
11,"Corazón","Maluma",0,"4lESS6vuruP6a79KWRaQou","2017-05-01","bo"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-05-01","bo"
11,"Safari","J Balvin",0,"6rQSrBHf7HlZjtcMZ4S4bO","2017-05-01","bo"
11,"Vacaciones","Wisin",0,"3dQDid3IUNhZy1OehIfYfE","2017-05-01","bo"
11,"Me Llamas (feat. Maluma) - Remix","Piso 21",0,"5hEM0JchdVzQ5PwvSfITeX","2017-05-01","bo"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-05-01","bo"
11,"Báilame","Nacho",0,"7lRsNbdOGykkMAgsqs4R1C","2017-05-01","bo"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-05-01","bo"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-05-01","bo"
11,"Besándote","Piso 21",0,"13X0XdLMOdtbXVtAj2ox4h","2017-05-01","bo"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-05-01","bo"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-05-01","bo"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-05-01","bo"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-05-01","bo"
11,"Suena El Dembow","Joey Montana",0,"5TysCiZtv1HnSWcTcUFusI","2017-05-01","bo"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-05-01","bo"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-05-01","bo"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-05-01","bo"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-05-01","bo"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-05-01","bo"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-05-01","bo"
11,"Downtown","Anitta",0,"3Ga6eKrUFf12ouh9Yw3v2D","2017-05-01","bo"
1,"Felices los 4","Maluma",292924,"0qYTZCo5Bwh1nsUFGZP3zn","2017-06-01","bo"
2,"Me Rehúso","Danny Ocean",199157,"6De0lHrwBfPfrhorm9q1Xl","2017-06-01","bo"
3,"Una Lady Como Tú","Manuel Turizo",198868,"7MHN1aCFtLXjownGhvEQlF","2017-06-01","bo"
4,"Hey DJ","CNCO",193791,"209gZgcfLq2aUuu51vOWBl","2017-06-01","bo"
5,"Escápate Conmigo","Wisin",184510,"2cnKEkpVUSV4wnjQiTWfH6","2017-06-01","bo"
6,"Shape of You","Ed Sheeran",165023,"7qiZfU4dY1lWllzX7mPBI3","2017-06-01","bo"
7,"Báilame","Nacho",130707,"7lRsNbdOGykkMAgsqs4R1C","2017-06-01","bo"
8,"Ahora Dice","Chris Jeday",89986,"22eADXu8DfOAUEDw4vU8qy","2017-06-01","bo"
9,"Despacito - Remix","Luis Fonsi",77749,"5CtI0qwDJkDQGwXD1H1cLb","2017-06-01","bo"
10,"Sigo Extrañándote","J Balvin",121937,"6qDF4wWL49CAVbgT7yuHl8","2017-06-01","bo"
11,"Reggaetón Lento (Bailemos)","CNCO",0,"3AEZUABDXNtecAOSC1qTfo","2017-06-01","bo"
11,"Chantaje","Shakira",0,"6mICuAdrwEjh6Y6lroV2Kg","2017-06-01","bo"
11,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",0,"4aWmUDTfIPGksMNLV2rQP2","2017-06-01","bo"
11,"Traicionera","Sebastian Yatra",0,"5J1c3M4EldCfNxXwrwt8mT","2017-06-01","bo"
11,"Otra Vez (feat. J Balvin)","Zion & Lennox",0,"3QwBODjSEzelZyVjxPOHdq","2017-06-01","bo"
11,"Corazón","Maluma",0,"4lESS6vuruP6a79KWRaQou","2017-06-01","bo"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-06-01","bo"
11,"Safari","J Balvin",0,"6rQSrBHf7HlZjtcMZ4S4bO","2017-06-01","bo"
11,"El Amante","Nicky Jam",0,"3umS4y3uQDkqekNjVpiRUs","2017-06-01","bo"
11,"Vacaciones","Wisin",0,"3dQDid3IUNhZy1OehIfYfE","2017-06-01","bo"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-06-01","bo"
11,"Me Llamas (feat. Maluma) - Remix","Piso 21",0,"5hEM0JchdVzQ5PwvSfITeX","2017-06-01","bo"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-06-01","bo"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-06-01","bo"
11,"Besándote","Piso 21",0,"13X0XdLMOdtbXVtAj2ox4h","2017-06-01","bo"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-06-01","bo"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-06-01","bo"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-06-01","bo"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-06-01","bo"
11,"Suena El Dembow","Joey Montana",0,"5TysCiZtv1HnSWcTcUFusI","2017-06-01","bo"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-06-01","bo"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-06-01","bo"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-06-01","bo"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-06-01","bo"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-06-01","bo"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-06-01","bo"
11,"Downtown","Anitta",0,"3Ga6eKrUFf12ouh9Yw3v2D","2017-06-01","bo"
1,"Felices los 4","Maluma",254001,"0qYTZCo5Bwh1nsUFGZP3zn","2017-07-01","bo"
2,"Una Lady Como Tú","Manuel Turizo",244707,"7MHN1aCFtLXjownGhvEQlF","2017-07-01","bo"
3,"Me Rehúso","Danny Ocean",239490,"6De0lHrwBfPfrhorm9q1Xl","2017-07-01","bo"
4,"Mi Gente","J Balvin",240810,"2rb5MvYT7ZIxbKW5hfcHx8","2017-07-01","bo"
5,"Escápate Conmigo","Wisin",207453,"2cnKEkpVUSV4wnjQiTWfH6","2017-07-01","bo"
6,"Hey DJ","CNCO",193096,"209gZgcfLq2aUuu51vOWBl","2017-07-01","bo"
7,"Ahora Dice","Chris Jeday",167045,"22eADXu8DfOAUEDw4vU8qy","2017-07-01","bo"
8,"Báilame","Nacho",163689,"7lRsNbdOGykkMAgsqs4R1C","2017-07-01","bo"
9,"Shape of You","Ed Sheeran",159414,"7qiZfU4dY1lWllzX7mPBI3","2017-07-01","bo"
10,"Besándote","Piso 21",138676,"13X0XdLMOdtbXVtAj2ox4h","2017-07-01","bo"
11,"Reggaetón Lento (Bailemos)","CNCO",0,"3AEZUABDXNtecAOSC1qTfo","2017-07-01","bo"
11,"Chantaje","Shakira",0,"6mICuAdrwEjh6Y6lroV2Kg","2017-07-01","bo"
11,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",0,"4aWmUDTfIPGksMNLV2rQP2","2017-07-01","bo"
11,"Traicionera","Sebastian Yatra",0,"5J1c3M4EldCfNxXwrwt8mT","2017-07-01","bo"
11,"Otra Vez (feat. J Balvin)","Zion & Lennox",0,"3QwBODjSEzelZyVjxPOHdq","2017-07-01","bo"
