"Position","Track.Name","Artist","Streams","songId","Month","Region"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-02-01","cl"
11,"Sigo Extrañándote","J Balvin",0,"6qDF4wWL49CAVbgT7yuHl8","2017-02-01","cl"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-02-01","cl"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-02-01","cl"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-02-01","cl"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-02-01","cl"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-02-01","cl"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-02-01","cl"
11,"Krippy Kush","Farruko",0,"3rgjBiAMVGnxmsTDmUy8vb","2017-02-01","cl"
11,"Bella y Sensual","Romeo Santos",0,"0ERbK7qVqveCaBWIiYCrl3","2017-02-01","cl"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-02-01","cl"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-02-01","cl"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-02-01","cl"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-02-01","cl"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-02-01","cl"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-02-01","cl"
11,"Vuelve","Daddy Yankee",0,"0lJCqIx5BhZtf6QtYI2fbv","2017-02-01","cl"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-02-01","cl"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-02-01","cl"
11,"Perro Fiel","Shakira",0,"70lnL3QaSOIIyMa2X9aVRL","2017-02-01","cl"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-02-01","cl"
11,"Olha a Explosão","MC Kevinho",0,"6m2LNopVJKsvBB9l7Z1rwn","2017-02-01","cl"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",5938402,"4aWmUDTfIPGksMNLV2rQP2","2017-03-01","cl"
2,"Shape of You","Ed Sheeran",3926680,"7qiZfU4dY1lWllzX7mPBI3","2017-03-01","cl"
3,"El Amante","Nicky Jam",3871923,"3umS4y3uQDkqekNjVpiRUs","2017-03-01","cl"
4,"Reggaetón Lento (Bailemos)","CNCO",3334349,"3AEZUABDXNtecAOSC1qTfo","2017-03-01","cl"
5,"Me Rehúso","Danny Ocean",3285003,"6De0lHrwBfPfrhorm9q1Xl","2017-03-01","cl"
6,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",3207479,"5q2JbCNi4FcnglgPfxcV65","2017-03-01","cl"
7,"Otra Vez (feat. J Balvin)","Zion & Lennox",3120179,"3QwBODjSEzelZyVjxPOHdq","2017-03-01","cl"
8,"Chantaje","Shakira",2175538,"6mICuAdrwEjh6Y6lroV2Kg","2017-03-01","cl"
9,"Tu Falta De Querer","Mon Laferte",1457206,"4skuEIloXWuxxgekKupkEH","2017-03-01","cl"
10,"Amárrame","Mon Laferte",2355194,"0u13src3QcditRU5VPduML","2017-03-01","cl"
11,"Safari","J Balvin",0,"6rQSrBHf7HlZjtcMZ4S4bO","2017-03-01","cl"
11,"Corazón","Maluma",0,"4lESS6vuruP6a79KWRaQou","2017-03-01","cl"
11,"Vente Pa' Ca","Ricky Martin",0,"7DM4BPaS7uofFul3ywMe46","2017-03-01","cl"
11,"Vacaciones","Wisin",0,"3dQDid3IUNhZy1OehIfYfE","2017-03-01","cl"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-03-01","cl"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-03-01","cl"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-03-01","cl"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-03-01","cl"
11,"Sigo Extrañándote","J Balvin",0,"6qDF4wWL49CAVbgT7yuHl8","2017-03-01","cl"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-03-01","cl"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-03-01","cl"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-03-01","cl"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-03-01","cl"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-03-01","cl"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-03-01","cl"
11,"Krippy Kush","Farruko",0,"3rgjBiAMVGnxmsTDmUy8vb","2017-03-01","cl"
11,"Bella y Sensual","Romeo Santos",0,"0ERbK7qVqveCaBWIiYCrl3","2017-03-01","cl"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-03-01","cl"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-03-01","cl"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-03-01","cl"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-03-01","cl"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-03-01","cl"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-03-01","cl"
11,"Vuelve","Daddy Yankee",0,"0lJCqIx5BhZtf6QtYI2fbv","2017-03-01","cl"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-03-01","cl"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-03-01","cl"
11,"Perro Fiel","Shakira",0,"70lnL3QaSOIIyMa2X9aVRL","2017-03-01","cl"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-03-01","cl"
11,"Olha a Explosão","MC Kevinho",0,"6m2LNopVJKsvBB9l7Z1rwn","2017-03-01","cl"
1,"Me Rehúso","Danny Ocean",4760385,"6De0lHrwBfPfrhorm9q1Xl","2017-04-01","cl"
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",4128595,"4aWmUDTfIPGksMNLV2rQP2","2017-04-01","cl"
3,"Shape of You","Ed Sheeran",3489559,"7qiZfU4dY1lWllzX7mPBI3","2017-04-01","cl"
4,"Escápate Conmigo","Wisin",3085217,"2cnKEkpVUSV4wnjQiTWfH6","2017-04-01","cl"
5,"El Amante","Nicky Jam",3111288,"3umS4y3uQDkqekNjVpiRUs","2017-04-01","cl"
6,"Despacito - Remix","Luis Fonsi",2129073,"5CtI0qwDJkDQGwXD1H1cLb","2017-04-01","cl"
7,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",2886116,"5q2JbCNi4FcnglgPfxcV65","2017-04-01","cl"
8,"Ahora Dice","Chris Jeday",2174539,"22eADXu8DfOAUEDw4vU8qy","2017-04-01","cl"
9,"Sigo Extrañándote","J Balvin",2570398,"6qDF4wWL49CAVbgT7yuHl8","2017-04-01","cl"
10,"Otra Vez (feat. J Balvin)","Zion & Lennox",1770015,"3QwBODjSEzelZyVjxPOHdq","2017-04-01","cl"
11,"Chantaje","Shakira",0,"6mICuAdrwEjh6Y6lroV2Kg","2017-04-01","cl"
11,"Safari","J Balvin",0,"6rQSrBHf7HlZjtcMZ4S4bO","2017-04-01","cl"
11,"Corazón","Maluma",0,"4lESS6vuruP6a79KWRaQou","2017-04-01","cl"
11,"Reggaetón Lento (Bailemos)","CNCO",0,"3AEZUABDXNtecAOSC1qTfo","2017-04-01","cl"
11,"Vente Pa' Ca","Ricky Martin",0,"7DM4BPaS7uofFul3ywMe46","2017-04-01","cl"
11,"Vacaciones","Wisin",0,"3dQDid3IUNhZy1OehIfYfE","2017-04-01","cl"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-04-01","cl"
11,"Tu Falta De Querer","Mon Laferte",0,"4skuEIloXWuxxgekKupkEH","2017-04-01","cl"
11,"Amárrame","Mon Laferte",0,"0u13src3QcditRU5VPduML","2017-04-01","cl"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-04-01","cl"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-04-01","cl"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-04-01","cl"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-04-01","cl"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-04-01","cl"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-04-01","cl"
11,"Krippy Kush","Farruko",0,"3rgjBiAMVGnxmsTDmUy8vb","2017-04-01","cl"
11,"Bella y Sensual","Romeo Santos",0,"0ERbK7qVqveCaBWIiYCrl3","2017-04-01","cl"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-04-01","cl"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-04-01","cl"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-04-01","cl"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-04-01","cl"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-04-01","cl"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-04-01","cl"
11,"Vuelve","Daddy Yankee",0,"0lJCqIx5BhZtf6QtYI2fbv","2017-04-01","cl"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-04-01","cl"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-04-01","cl"
11,"Perro Fiel","Shakira",0,"70lnL3QaSOIIyMa2X9aVRL","2017-04-01","cl"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-04-01","cl"
11,"Olha a Explosão","MC Kevinho",0,"6m2LNopVJKsvBB9l7Z1rwn","2017-04-01","cl"
1,"Felices los 4","Maluma",4952264,"0qYTZCo5Bwh1nsUFGZP3zn","2017-05-01","cl"
2,"Me Rehúso","Danny Ocean",5068904,"6Zosz8w6CmdGMZM6p4JlbQ","2017-05-01","cl"
3,"Escápate Conmigo","Wisin",4140121,"2cnKEkpVUSV4wnjQiTWfH6","2017-05-01","cl"
4,"Ahora Dice","Chris Jeday",3479256,"22eADXu8DfOAUEDw4vU8qy","2017-05-01","cl"
5,"Shape of You","Ed Sheeran",3093566,"7qiZfU4dY1lWllzX7mPBI3","2017-05-01","cl"
6,"Despacito - Remix","Luis Fonsi",2601711,"5CtI0qwDJkDQGwXD1H1cLb","2017-05-01","cl"
7,"Sigo Extrañándote","J Balvin",2634983,"6qDF4wWL49CAVbgT7yuHl8","2017-05-01","cl"
8,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",2852783,"4aWmUDTfIPGksMNLV2rQP2","2017-05-01","cl"
9,"El Amante","Nicky Jam",2612292,"3umS4y3uQDkqekNjVpiRUs","2017-05-01","cl"
10,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",2558573,"5q2JbCNi4FcnglgPfxcV65","2017-05-01","cl"
11,"Chantaje","Shakira",0,"6mICuAdrwEjh6Y6lroV2Kg","2017-05-01","cl"
11,"Safari","J Balvin",0,"6rQSrBHf7HlZjtcMZ4S4bO","2017-05-01","cl"
11,"Otra Vez (feat. J Balvin)","Zion & Lennox",0,"3QwBODjSEzelZyVjxPOHdq","2017-05-01","cl"
11,"Corazón","Maluma",0,"4lESS6vuruP6a79KWRaQou","2017-05-01","cl"
11,"Reggaetón Lento (Bailemos)","CNCO",0,"3AEZUABDXNtecAOSC1qTfo","2017-05-01","cl"
11,"Vente Pa' Ca","Ricky Martin",0,"7DM4BPaS7uofFul3ywMe46","2017-05-01","cl"
