"Position","Track.Name","Artist","Streams","songId","Month","Region"
2,"Look What You Made Me Do","Taylor Swift",174301,"6uFsE1JgZ20EXyU0JQZbUR","2017-09-01","gr"
3,"Dusk Till Dawn - Radio Edit","ZAYN",143235,"1j4kHkkpqZRBwE0A4CN4Yv","2017-09-01","gr"
4,"Havana","Camila Cabello",146550,"0ofbQMrRDsUaVKq2mGLEAb","2017-09-01","gr"
5,"Mi Gente","J Balvin",140230,"2rb5MvYT7ZIxbKW5hfcHx8","2017-09-01","gr"
6,"rockstar","Post Malone",104880,"1OmcAT5Y8eg5bUPv9qJT4R","2017-09-01","gr"
7,"Unforgettable","French Montana",133762,"3B54sVLJ402zGa6Xm4YGNe","2017-09-01","gr"
8,"Friends (with BloodPop®)","Justin Bieber",111751,"7nZmah2llfvLDiUjm0kiyz","2017-09-01","gr"
9,"Too Good At Goodbyes - Edit","Sam Smith",81752,"0mel2N9Ws9r4yLQn5QE21Y","2017-09-01","gr"
10,"Silence","Marshmello",72712,"7vGuf3Y35N4wmASOKLUVVU","2017-09-01","gr"
11,"Shape of You","Ed Sheeran",0,"7qiZfU4dY1lWllzX7mPBI3","2017-09-01","gr"
11,"Castle on the Hill","Ed Sheeran",0,"6PCUP3dWmTjcTtXY02oFdT","2017-09-01","gr"
11,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",0,"5knuzwU65gJK7IF5yJsuaW","2017-09-01","gr"
11,"Starboy","The Weeknd",0,"5aAx2yezTd8zXrkmtKl66Z","2017-09-01","gr"
11,"Him & I (with Halsey)","G-Eazy",0,"5k38wzpLb15YgncyWdTZE4","2017-09-01","gr"
11,"Closer","The Chainsmokers",0,"7BKLCZ1jbUBVqRi2FVlTVw","2017-09-01","gr"
11,"I Feel It Coming","The Weeknd",0,"5GXAXm5YOmYT0kL5jHvYBt","2017-09-01","gr"
11,"Paris","The Chainsmokers",0,"72jbDTw1piOOj770jWNeaG","2017-09-01","gr"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-09-01","gr"
11,"Scared to Be Lonely","Martin Garrix",0,"3ebXMykcMXOcLeJ9xZ17XH","2017-09-01","gr"
11,"Chained To The Rhythm","Katy Perry",0,"6520aj0B4FSKGVuKNsOCOi","2017-09-01","gr"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-09-01","gr"
11,"Issues","Julia Michaels",0,"1sXUWdKx03aP9Gmzft58rt","2017-09-01","gr"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-09-01","gr"
11,"Galway Girl","Ed Sheeran",0,"0afhq8XCExXpqazXczTSve","2017-09-01","gr"
11,"Stay (with Alessia Cara)","Zedd",0,"0dA2Mk56wEzDgegdC6R17g","2017-09-01","gr"
11,"Passionfruit","Drake",0,"7hDc8b7IXETo14hHIHdnhd","2017-09-01","gr"
11,"Cold","Maroon 5",0,"5NNlUMcOEOdoOIwwaWXv0k","2017-09-01","gr"
11,"That's What I Like","Bruno Mars",0,"0KKkJNfGyhkQ5aFogxQAPU","2017-09-01","gr"
11,"Mask Off","Future",0,"3rOSwuTsUlJp0Pu0MkN8r8","2017-09-01","gr"
11,"HUMBLE.","Kendrick Lamar",0,"7KXjTSCq5nL1LoYtL7XAwS","2017-09-01","gr"
11,"DNA.","Kendrick Lamar",0,"6HZILIRieu8S0iqY8kIKhj","2017-09-01","gr"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-09-01","gr"
11,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",0,"6kex4EBAj0WHXDKZMEJaaF","2017-09-01","gr"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-09-01","gr"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-09-01","gr"
11,"There's Nothing Holdin' Me Back","Shawn Mendes",0,"79cuOz3SPQTuFrp8WgftAu","2017-09-01","gr"
11,"Attention","Charlie Puth",0,"4iLqG9SeJSnt0cSPICSjxv","2017-09-01","gr"
11,"Bad Liar","Selena Gomez",0,"1sCxVKWImDZSZKvG0U9B23","2017-09-01","gr"
11,"2U (feat. Justin Bieber)","David Guetta",0,"3A7qX2QjDlPnazUsRk5y0M","2017-09-01","gr"
11,"I'm the One","DJ Khaled",0,"3DXncPQOG4VBw3QHh3S817","2017-09-01","gr"
11,"Wild Thoughts","DJ Khaled",0,"1OAh8uOEOvTDqkKFsKksCi","2017-09-01","gr"
11,"There for You","Martin Garrix",0,"6jA8HL9i4QGzsj6fjoxp8Y","2017-09-01","gr"
11,"Unforgettable","French Montana",0,"1F2HXIJrE2Xn81OzT2zZvW","2017-09-01","gr"
11,"Fetish (feat. Gucci Mane)","Selena Gomez",0,"0XLOf9LhyazPX9Ld8jPiUq","2017-09-01","gr"
11,"Mama","Jonas Blue",0,"4xlrALxuaCf9yZBHJeTSG6","2017-09-01","gr"
11,"Mama","Jonas Blue",0,"0NiXXAI876aGImAd6rTj8w","2017-09-01","gr"
11,"Feels","Calvin Harris",0,"5bcTCxgc7xVfSaMV3RuVke","2017-09-01","gr"
11,"rockstar","Post Malone",0,"7wGoVu4Dady5GV0Sv4UIsx","2017-09-01","gr"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"4mxWSdf71VFO52qFeY0fZt","2017-09-01","gr"
11,"Feel It Still","Portugal. The Man",0,"6QgjcU0zLnzq5OrUoSZ3OK","2017-09-01","gr"
11,"Wolves","Selena Gomez",0,"7EmGUiUaOSGDnUUQUDrOXC","2017-09-01","gr"
11,"Gucci Gang","Lil Pump",0,"43ZyHQITOjhciSUUNPVRHc","2017-09-01","gr"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"3hBBKuWJfxlIlnd9QFoC8k","2017-09-01","gr"
11,"Too Good At Goodbyes","Sam Smith",0,"1mXVgsBdtIVeCLJnSnmtdV","2017-09-01","gr"
11,"How Long","Charlie Puth",0,"32DGGj6KlNuBr6WaqRxpxi","2017-09-01","gr"
11,"Perfect","Ed Sheeran",0,"0tgVpDi06FyKpA1z0VMD4v","2017-09-01","gr"
11,"All I Want for Christmas Is You","Mariah Carey",0,"0bYg9bo50gSsH3LtXe2SQn","2017-09-01","gr"
11,"River (feat. Ed Sheeran)","Eminem",0,"5UEnHoDYpsxlfzWLZIc7LD","2017-09-01","gr"
11,"Him & I (with Halsey)","G-Eazy",0,"3YU6vJbjYUG0tiJyXf9x5V","2017-09-01","gr"
11,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",0,"1bhUWB0zJMIKr9yVPrkEuI","2017-09-01","gr"
1,"Dusk Till Dawn - Radio Edit","ZAYN",168969,"1j4kHkkpqZRBwE0A4CN4Yv","2017-10-01","gr"
2,"New Rules","Dua Lipa",153761,"2ekn2ttSfGqwhhate0LSR0","2017-10-01","gr"
3,"Havana","Camila Cabello",155482,"0ofbQMrRDsUaVKq2mGLEAb","2017-10-01","gr"
4,"rockstar","Post Malone",194601,"7wGoVu4Dady5GV0Sv4UIsx","2017-10-01","gr"
5,"What Lovers Do (feat. SZA)","Maroon 5",98602,"4mxWSdf71VFO52qFeY0fZt","2017-10-01","gr"
6,"rockstar","Post Malone",82582,"1OmcAT5Y8eg5bUPv9qJT4R","2017-10-01","gr"
7,"Look What You Made Me Do","Taylor Swift",73282,"6uFsE1JgZ20EXyU0JQZbUR","2017-10-01","gr"
8,"Unforgettable","French Montana",73806,"3B54sVLJ402zGa6Xm4YGNe","2017-10-01","gr"
9,"Silence","Marshmello",82640,"7vGuf3Y35N4wmASOKLUVVU","2017-10-01","gr"
10,"Feel It Still","Portugal. The Man",43443,"6QgjcU0zLnzq5OrUoSZ3OK","2017-10-01","gr"
11,"Shape of You","Ed Sheeran",0,"7qiZfU4dY1lWllzX7mPBI3","2017-10-01","gr"
11,"Castle on the Hill","Ed Sheeran",0,"6PCUP3dWmTjcTtXY02oFdT","2017-10-01","gr"
11,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",0,"5knuzwU65gJK7IF5yJsuaW","2017-10-01","gr"
11,"Starboy","The Weeknd",0,"5aAx2yezTd8zXrkmtKl66Z","2017-10-01","gr"
11,"Him & I (with Halsey)","G-Eazy",0,"5k38wzpLb15YgncyWdTZE4","2017-10-01","gr"
11,"Closer","The Chainsmokers",0,"7BKLCZ1jbUBVqRi2FVlTVw","2017-10-01","gr"
11,"I Feel It Coming","The Weeknd",0,"5GXAXm5YOmYT0kL5jHvYBt","2017-10-01","gr"
11,"Paris","The Chainsmokers",0,"72jbDTw1piOOj770jWNeaG","2017-10-01","gr"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-10-01","gr"
11,"Scared to Be Lonely","Martin Garrix",0,"3ebXMykcMXOcLeJ9xZ17XH","2017-10-01","gr"
11,"Chained To The Rhythm","Katy Perry",0,"6520aj0B4FSKGVuKNsOCOi","2017-10-01","gr"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-10-01","gr"
11,"Issues","Julia Michaels",0,"1sXUWdKx03aP9Gmzft58rt","2017-10-01","gr"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-10-01","gr"
11,"Galway Girl","Ed Sheeran",0,"0afhq8XCExXpqazXczTSve","2017-10-01","gr"
11,"Stay (with Alessia Cara)","Zedd",0,"0dA2Mk56wEzDgegdC6R17g","2017-10-01","gr"
11,"Passionfruit","Drake",0,"7hDc8b7IXETo14hHIHdnhd","2017-10-01","gr"
11,"Cold","Maroon 5",0,"5NNlUMcOEOdoOIwwaWXv0k","2017-10-01","gr"
11,"That's What I Like","Bruno Mars",0,"0KKkJNfGyhkQ5aFogxQAPU","2017-10-01","gr"
11,"Mask Off","Future",0,"3rOSwuTsUlJp0Pu0MkN8r8","2017-10-01","gr"
11,"HUMBLE.","Kendrick Lamar",0,"7KXjTSCq5nL1LoYtL7XAwS","2017-10-01","gr"
11,"DNA.","Kendrick Lamar",0,"6HZILIRieu8S0iqY8kIKhj","2017-10-01","gr"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-10-01","gr"
11,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",0,"6kex4EBAj0WHXDKZMEJaaF","2017-10-01","gr"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-10-01","gr"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-10-01","gr"
11,"There's Nothing Holdin' Me Back","Shawn Mendes",0,"79cuOz3SPQTuFrp8WgftAu","2017-10-01","gr"
11,"Attention","Charlie Puth",0,"4iLqG9SeJSnt0cSPICSjxv","2017-10-01","gr"
11,"Bad Liar","Selena Gomez",0,"1sCxVKWImDZSZKvG0U9B23","2017-10-01","gr"
11,"2U (feat. Justin Bieber)","David Guetta",0,"3A7qX2QjDlPnazUsRk5y0M","2017-10-01","gr"
11,"I'm the One","DJ Khaled",0,"3DXncPQOG4VBw3QHh3S817","2017-10-01","gr"
11,"Wild Thoughts","DJ Khaled",0,"1OAh8uOEOvTDqkKFsKksCi","2017-10-01","gr"
11,"There for You","Martin Garrix",0,"6jA8HL9i4QGzsj6fjoxp8Y","2017-10-01","gr"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-10-01","gr"
11,"Unforgettable","French Montana",0,"1F2HXIJrE2Xn81OzT2zZvW","2017-10-01","gr"
11,"Fetish (feat. Gucci Mane)","Selena Gomez",0,"0XLOf9LhyazPX9Ld8jPiUq","2017-10-01","gr"
11,"Mama","Jonas Blue",0,"4xlrALxuaCf9yZBHJeTSG6","2017-10-01","gr"
11,"Friends (with BloodPop®)","Justin Bieber",0,"7nZmah2llfvLDiUjm0kiyz","2017-10-01","gr"
11,"Mama","Jonas Blue",0,"0NiXXAI876aGImAd6rTj8w","2017-10-01","gr"
11,"Feels","Calvin Harris",0,"5bcTCxgc7xVfSaMV3RuVke","2017-10-01","gr"
11,"Too Good At Goodbyes - Edit","Sam Smith",0,"0mel2N9Ws9r4yLQn5QE21Y","2017-10-01","gr"
11,"Wolves","Selena Gomez",0,"7EmGUiUaOSGDnUUQUDrOXC","2017-10-01","gr"
11,"Gucci Gang","Lil Pump",0,"43ZyHQITOjhciSUUNPVRHc","2017-10-01","gr"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"3hBBKuWJfxlIlnd9QFoC8k","2017-10-01","gr"
11,"Too Good At Goodbyes","Sam Smith",0,"1mXVgsBdtIVeCLJnSnmtdV","2017-10-01","gr"
11,"How Long","Charlie Puth",0,"32DGGj6KlNuBr6WaqRxpxi","2017-10-01","gr"
11,"Perfect","Ed Sheeran",0,"0tgVpDi06FyKpA1z0VMD4v","2017-10-01","gr"
11,"All I Want for Christmas Is You","Mariah Carey",0,"0bYg9bo50gSsH3LtXe2SQn","2017-10-01","gr"
11,"River (feat. Ed Sheeran)","Eminem",0,"5UEnHoDYpsxlfzWLZIc7LD","2017-10-01","gr"
11,"Him & I (with Halsey)","G-Eazy",0,"3YU6vJbjYUG0tiJyXf9x5V","2017-10-01","gr"
11,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",0,"1bhUWB0zJMIKr9yVPrkEuI","2017-10-01","gr"
1,"rockstar","Post Malone",249357,"7wGoVu4Dady5GV0Sv4UIsx","2017-11-01","gr"
2,"Havana","Camila Cabello",175951,"0ofbQMrRDsUaVKq2mGLEAb","2017-11-01","gr"
3,"Wolves","Selena Gomez",141272,"7EmGUiUaOSGDnUUQUDrOXC","2017-11-01","gr"
4,"Gucci Gang","Lil Pump",141727,"43ZyHQITOjhciSUUNPVRHc","2017-11-01","gr"
5,"Dusk Till Dawn - Radio Edit","ZAYN",136215,"1j4kHkkpqZRBwE0A4CN4Yv","2017-11-01","gr"
6,"New Rules","Dua Lipa",131548,"2ekn2ttSfGqwhhate0LSR0","2017-11-01","gr"
7,"What Lovers Do (feat. SZA)","Maroon 5",88531,"3hBBKuWJfxlIlnd9QFoC8k","2017-11-01","gr"
8,"Too Good At Goodbyes","Sam Smith",85398,"1mXVgsBdtIVeCLJnSnmtdV","2017-11-01","gr"
9,"How Long","Charlie Puth",68928,"32DGGj6KlNuBr6WaqRxpxi","2017-11-01","gr"
10,"Perfect","Ed Sheeran",30799,"0tgVpDi06FyKpA1z0VMD4v","2017-11-01","gr"
11,"Shape of You","Ed Sheeran",0,"7qiZfU4dY1lWllzX7mPBI3","2017-11-01","gr"
11,"Castle on the Hill","Ed Sheeran",0,"6PCUP3dWmTjcTtXY02oFdT","2017-11-01","gr"
11,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",0,"5knuzwU65gJK7IF5yJsuaW","2017-11-01","gr"
11,"Starboy","The Weeknd",0,"5aAx2yezTd8zXrkmtKl66Z","2017-11-01","gr"
11,"Him & I (with Halsey)","G-Eazy",0,"5k38wzpLb15YgncyWdTZE4","2017-11-01","gr"
11,"Closer","The Chainsmokers",0,"7BKLCZ1jbUBVqRi2FVlTVw","2017-11-01","gr"
11,"I Feel It Coming","The Weeknd",0,"5GXAXm5YOmYT0kL5jHvYBt","2017-11-01","gr"
11,"Paris","The Chainsmokers",0,"72jbDTw1piOOj770jWNeaG","2017-11-01","gr"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-11-01","gr"
11,"Scared to Be Lonely","Martin Garrix",0,"3ebXMykcMXOcLeJ9xZ17XH","2017-11-01","gr"
11,"Chained To The Rhythm","Katy Perry",0,"6520aj0B4FSKGVuKNsOCOi","2017-11-01","gr"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-11-01","gr"
11,"Issues","Julia Michaels",0,"1sXUWdKx03aP9Gmzft58rt","2017-11-01","gr"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-11-01","gr"
11,"Galway Girl","Ed Sheeran",0,"0afhq8XCExXpqazXczTSve","2017-11-01","gr"
11,"Stay (with Alessia Cara)","Zedd",0,"0dA2Mk56wEzDgegdC6R17g","2017-11-01","gr"
11,"Passionfruit","Drake",0,"7hDc8b7IXETo14hHIHdnhd","2017-11-01","gr"
11,"Cold","Maroon 5",0,"5NNlUMcOEOdoOIwwaWXv0k","2017-11-01","gr"
11,"That's What I Like","Bruno Mars",0,"0KKkJNfGyhkQ5aFogxQAPU","2017-11-01","gr"
11,"Mask Off","Future",0,"3rOSwuTsUlJp0Pu0MkN8r8","2017-11-01","gr"
11,"HUMBLE.","Kendrick Lamar",0,"7KXjTSCq5nL1LoYtL7XAwS","2017-11-01","gr"
11,"DNA.","Kendrick Lamar",0,"6HZILIRieu8S0iqY8kIKhj","2017-11-01","gr"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-11-01","gr"
11,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",0,"6kex4EBAj0WHXDKZMEJaaF","2017-11-01","gr"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-11-01","gr"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-11-01","gr"
11,"There's Nothing Holdin' Me Back","Shawn Mendes",0,"79cuOz3SPQTuFrp8WgftAu","2017-11-01","gr"
11,"Attention","Charlie Puth",0,"4iLqG9SeJSnt0cSPICSjxv","2017-11-01","gr"
11,"Bad Liar","Selena Gomez",0,"1sCxVKWImDZSZKvG0U9B23","2017-11-01","gr"
11,"2U (feat. Justin Bieber)","David Guetta",0,"3A7qX2QjDlPnazUsRk5y0M","2017-11-01","gr"
11,"Unforgettable","French Montana",0,"3B54sVLJ402zGa6Xm4YGNe","2017-11-01","gr"
11,"I'm the One","DJ Khaled",0,"3DXncPQOG4VBw3QHh3S817","2017-11-01","gr"
11,"Wild Thoughts","DJ Khaled",0,"1OAh8uOEOvTDqkKFsKksCi","2017-11-01","gr"
11,"There for You","Martin Garrix",0,"6jA8HL9i4QGzsj6fjoxp8Y","2017-11-01","gr"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-11-01","gr"
11,"Unforgettable","French Montana",0,"1F2HXIJrE2Xn81OzT2zZvW","2017-11-01","gr"
11,"Fetish (feat. Gucci Mane)","Selena Gomez",0,"0XLOf9LhyazPX9Ld8jPiUq","2017-11-01","gr"
11,"Mama","Jonas Blue",0,"4xlrALxuaCf9yZBHJeTSG6","2017-11-01","gr"
11,"Friends (with BloodPop®)","Justin Bieber",0,"7nZmah2llfvLDiUjm0kiyz","2017-11-01","gr"
11,"Mama","Jonas Blue",0,"0NiXXAI876aGImAd6rTj8w","2017-11-01","gr"
11,"Feels","Calvin Harris",0,"5bcTCxgc7xVfSaMV3RuVke","2017-11-01","gr"
11,"Look What You Made Me Do","Taylor Swift",0,"6uFsE1JgZ20EXyU0JQZbUR","2017-11-01","gr"
11,"rockstar","Post Malone",0,"1OmcAT5Y8eg5bUPv9qJT4R","2017-11-01","gr"
11,"Too Good At Goodbyes - Edit","Sam Smith",0,"0mel2N9Ws9r4yLQn5QE21Y","2017-11-01","gr"
11,"Silence","Marshmello",0,"7vGuf3Y35N4wmASOKLUVVU","2017-11-01","gr"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"4mxWSdf71VFO52qFeY0fZt","2017-11-01","gr"
11,"Feel It Still","Portugal. The Man",0,"6QgjcU0zLnzq5OrUoSZ3OK","2017-11-01","gr"
11,"All I Want for Christmas Is You","Mariah Carey",0,"0bYg9bo50gSsH3LtXe2SQn","2017-11-01","gr"
11,"River (feat. Ed Sheeran)","Eminem",0,"5UEnHoDYpsxlfzWLZIc7LD","2017-11-01","gr"
11,"Him & I (with Halsey)","G-Eazy",0,"3YU6vJbjYUG0tiJyXf9x5V","2017-11-01","gr"
11,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",0,"1bhUWB0zJMIKr9yVPrkEuI","2017-11-01","gr"
1,"rockstar","Post Malone",234454,"7wGoVu4Dady5GV0Sv4UIsx","2017-12-01","gr"
2,"Havana","Camila Cabello",151484,"0ofbQMrRDsUaVKq2mGLEAb","2017-12-01","gr"
3,"Gucci Gang","Lil Pump",126542,"43ZyHQITOjhciSUUNPVRHc","2017-12-01","gr"
4,"All I Want for Christmas Is You","Mariah Carey",120149,"0bYg9bo50gSsH3LtXe2SQn","2017-12-01","gr"
5,"Wolves","Selena Gomez",121486,"7EmGUiUaOSGDnUUQUDrOXC","2017-12-01","gr"
6,"River (feat. Ed Sheeran)","Eminem",98357,"5UEnHoDYpsxlfzWLZIc7LD","2017-12-01","gr"
7,"Him & I (with Halsey)","G-Eazy",100745,"5k38wzpLb15YgncyWdTZE4","2017-12-01","gr"
8,"Him & I (with Halsey)","G-Eazy",75383,"3YU6vJbjYUG0tiJyXf9x5V","2017-12-01","gr"
9,"New Rules","Dua Lipa",105082,"2ekn2ttSfGqwhhate0LSR0","2017-12-01","gr"
10,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",66922,"1bhUWB0zJMIKr9yVPrkEuI","2017-12-01","gr"
11,"Shape of You","Ed Sheeran",0,"7qiZfU4dY1lWllzX7mPBI3","2017-12-01","gr"
11,"Castle on the Hill","Ed Sheeran",0,"6PCUP3dWmTjcTtXY02oFdT","2017-12-01","gr"
11,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",0,"5knuzwU65gJK7IF5yJsuaW","2017-12-01","gr"
11,"Starboy","The Weeknd",0,"5aAx2yezTd8zXrkmtKl66Z","2017-12-01","gr"
11,"Closer","The Chainsmokers",0,"7BKLCZ1jbUBVqRi2FVlTVw","2017-12-01","gr"
11,"I Feel It Coming","The Weeknd",0,"5GXAXm5YOmYT0kL5jHvYBt","2017-12-01","gr"
11,"Paris","The Chainsmokers",0,"72jbDTw1piOOj770jWNeaG","2017-12-01","gr"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-12-01","gr"
11,"Scared to Be Lonely","Martin Garrix",0,"3ebXMykcMXOcLeJ9xZ17XH","2017-12-01","gr"
11,"Chained To The Rhythm","Katy Perry",0,"6520aj0B4FSKGVuKNsOCOi","2017-12-01","gr"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-12-01","gr"
11,"Issues","Julia Michaels",0,"1sXUWdKx03aP9Gmzft58rt","2017-12-01","gr"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-12-01","gr"
11,"Galway Girl","Ed Sheeran",0,"0afhq8XCExXpqazXczTSve","2017-12-01","gr"
11,"Stay (with Alessia Cara)","Zedd",0,"0dA2Mk56wEzDgegdC6R17g","2017-12-01","gr"
11,"Passionfruit","Drake",0,"7hDc8b7IXETo14hHIHdnhd","2017-12-01","gr"
11,"Cold","Maroon 5",0,"5NNlUMcOEOdoOIwwaWXv0k","2017-12-01","gr"
11,"That's What I Like","Bruno Mars",0,"0KKkJNfGyhkQ5aFogxQAPU","2017-12-01","gr"
11,"Mask Off","Future",0,"3rOSwuTsUlJp0Pu0MkN8r8","2017-12-01","gr"
11,"HUMBLE.","Kendrick Lamar",0,"7KXjTSCq5nL1LoYtL7XAwS","2017-12-01","gr"
11,"DNA.","Kendrick Lamar",0,"6HZILIRieu8S0iqY8kIKhj","2017-12-01","gr"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-12-01","gr"
11,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",0,"6kex4EBAj0WHXDKZMEJaaF","2017-12-01","gr"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-12-01","gr"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-12-01","gr"
11,"There's Nothing Holdin' Me Back","Shawn Mendes",0,"79cuOz3SPQTuFrp8WgftAu","2017-12-01","gr"
11,"Attention","Charlie Puth",0,"4iLqG9SeJSnt0cSPICSjxv","2017-12-01","gr"
11,"Bad Liar","Selena Gomez",0,"1sCxVKWImDZSZKvG0U9B23","2017-12-01","gr"
11,"2U (feat. Justin Bieber)","David Guetta",0,"3A7qX2QjDlPnazUsRk5y0M","2017-12-01","gr"
11,"Unforgettable","French Montana",0,"3B54sVLJ402zGa6Xm4YGNe","2017-12-01","gr"
11,"I'm the One","DJ Khaled",0,"3DXncPQOG4VBw3QHh3S817","2017-12-01","gr"
11,"Wild Thoughts","DJ Khaled",0,"1OAh8uOEOvTDqkKFsKksCi","2017-12-01","gr"
11,"There for You","Martin Garrix",0,"6jA8HL9i4QGzsj6fjoxp8Y","2017-12-01","gr"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-12-01","gr"
11,"Unforgettable","French Montana",0,"1F2HXIJrE2Xn81OzT2zZvW","2017-12-01","gr"
11,"Fetish (feat. Gucci Mane)","Selena Gomez",0,"0XLOf9LhyazPX9Ld8jPiUq","2017-12-01","gr"
11,"Mama","Jonas Blue",0,"4xlrALxuaCf9yZBHJeTSG6","2017-12-01","gr"
11,"Friends (with BloodPop®)","Justin Bieber",0,"7nZmah2llfvLDiUjm0kiyz","2017-12-01","gr"
11,"Mama","Jonas Blue",0,"0NiXXAI876aGImAd6rTj8w","2017-12-01","gr"
11,"Feels","Calvin Harris",0,"5bcTCxgc7xVfSaMV3RuVke","2017-12-01","gr"
11,"Look What You Made Me Do","Taylor Swift",0,"6uFsE1JgZ20EXyU0JQZbUR","2017-12-01","gr"
11,"Dusk Till Dawn - Radio Edit","ZAYN",0,"1j4kHkkpqZRBwE0A4CN4Yv","2017-12-01","gr"
11,"rockstar","Post Malone",0,"1OmcAT5Y8eg5bUPv9qJT4R","2017-12-01","gr"
11,"Too Good At Goodbyes - Edit","Sam Smith",0,"0mel2N9Ws9r4yLQn5QE21Y","2017-12-01","gr"
11,"Silence","Marshmello",0,"7vGuf3Y35N4wmASOKLUVVU","2017-12-01","gr"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"4mxWSdf71VFO52qFeY0fZt","2017-12-01","gr"
11,"Feel It Still","Portugal. The Man",0,"6QgjcU0zLnzq5OrUoSZ3OK","2017-12-01","gr"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"3hBBKuWJfxlIlnd9QFoC8k","2017-12-01","gr"
11,"Too Good At Goodbyes","Sam Smith",0,"1mXVgsBdtIVeCLJnSnmtdV","2017-12-01","gr"
11,"How Long","Charlie Puth",0,"32DGGj6KlNuBr6WaqRxpxi","2017-12-01","gr"
11,"Perfect","Ed Sheeran",0,"0tgVpDi06FyKpA1z0VMD4v","2017-12-01","gr"
