"Position","Track.Name","Artist","Streams","songId","Month","Region"
11,"Otra Vez (feat. J Balvin)","Zion & Lennox",0,"3QwBODjSEzelZyVjxPOHdq","2017-04-01","py"
11,"Deu Onda","MC G15",0,"0EPxmvsG1BY5td4aTOkWBF","2017-04-01","py"
11,"Chantaje","Shakira",0,"6mICuAdrwEjh6Y6lroV2Kg","2017-04-01","py"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-04-01","py"
11,"Vacaciones","Wisin",0,"3dQDid3IUNhZy1OehIfYfE","2017-04-01","py"
11,"Safari","J Balvin",0,"6rQSrBHf7HlZjtcMZ4S4bO","2017-04-01","py"
11,"Vente Pa' Ca","Ricky Martin",0,"7DM4BPaS7uofFul3ywMe46","2017-04-01","py"
11,"Corazón","Maluma",0,"4lESS6vuruP6a79KWRaQou","2017-04-01","py"
11,"Olha a Explosão","MC Kevinho",0,"6m2LNopVJKsvBB9l7Z1rwn","2017-04-01","py"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-04-01","py"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-04-01","py"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-04-01","py"
11,"Besándote","Piso 21",0,"13X0XdLMOdtbXVtAj2ox4h","2017-04-01","py"
11,"Si Tú La Ves","Nicky Jam",0,"4yN6xPLopmTLvc27pO9LIE","2017-04-01","py"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-04-01","py"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-04-01","py"
11,"Krippy Kush","Farruko",0,"3rgjBiAMVGnxmsTDmUy8vb","2017-04-01","py"
11,"Bebe (feat. Anuel AA)","Ozuna",0,"6SIrNxmmdbv1KUbFBu1PaN","2017-04-01","py"
11,"Explícale","Yandel",0,"1LszjjoVwDDZcWUQbzeDLG","2017-04-01","py"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-04-01","py"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-04-01","py"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-04-01","py"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-04-01","py"
11,"Vuelve","Daddy Yankee",0,"0lJCqIx5BhZtf6QtYI2fbv","2017-04-01","py"
11,"Quiero Repetir","Ozuna",0,"0MIcPSq9n2z5H8TAfEstri","2017-04-01","py"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-04-01","py"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-04-01","py"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-04-01","py"
11,"Solo","El Nene La amenaza",0,"2rrJfOphzn4uQCK9X0x6R6","2017-04-01","py"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-04-01","py"
1,"Felices los 4","Maluma",546447,"0qYTZCo5Bwh1nsUFGZP3zn","2017-05-01","py"
2,"Me Rehúso","Danny Ocean",376577,"6Zosz8w6CmdGMZM6p4JlbQ","2017-05-01","py"
3,"Escápate Conmigo","Wisin",357566,"2cnKEkpVUSV4wnjQiTWfH6","2017-05-01","py"
4,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",304487,"5q2JbCNi4FcnglgPfxcV65","2017-05-01","py"
5,"Ahora Dice","Chris Jeday",288435,"22eADXu8DfOAUEDw4vU8qy","2017-05-01","py"
6,"Shape of You","Ed Sheeran",247042,"7qiZfU4dY1lWllzX7mPBI3","2017-05-01","py"
7,"Despacito - Remix","Luis Fonsi",227007,"5CtI0qwDJkDQGwXD1H1cLb","2017-05-01","py"
8,"Sigo Extrañándote","J Balvin",212667,"6qDF4wWL49CAVbgT7yuHl8","2017-05-01","py"
