"Position","Track.Name","Artist","Streams","songId","Month","Region"
11,"Sua Cara (feat. Anitta & Pabllo Vittar)","Major Lazer",0,"5gUFvcHTgDNthj7DmZl2L7","2017-02-01","br"
11,"K.O.","Pabllo Vittar",0,"1J0iYsJuVhqfDhBoSLuO9A","2017-02-01","br"
11,"Fazer Falta","Mc Livinho",0,"6pSYjx66rlqRmGGTHhnjCo","2017-02-01","br"
11,"Vidinha de Balada - Ao Vivo","Henrique & Juliano",0,"2g2ZjM1GjY9Lf2Ff0L94Ul","2017-02-01","br"
11,"Sua Cara (feat. Anitta & Pabllo Vittar)","Major Lazer",0,"3ibRxEv4KkcU9e259eyNJA","2017-02-01","br"
11,"Encaixa","MC Kevinho",0,"7yYOMPwpV5CsK0cxoAZT6B","2017-02-01","br"
11,"Deixe Me Ir - Acústico","1Kilo",0,"2srL4DYBekshpbprS6H0mO","2017-02-01","br"
11,"K.O.","Pabllo Vittar",0,"3zDNvfOirISKzV3I6tSRN1","2017-02-01","br"
11,"Cara Bacana","MC G15",0,"4BjPsq3MXBNo4Qxg40igEr","2017-02-01","br"
11,"K.O.","Pabllo Vittar",0,"5zSiXA70xM4kuSt6qim6jl","2017-02-01","br"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-02-01","br"
11,"Corpo Sensual","Pabllo Vittar",0,"4kkQGhScJDzNIIGavQE9SN","2017-02-01","br"
11,"Raspão - Ao Vivo","Henrique & Diego",0,"6gquljDBW7rE6mCBzmTRxo","2017-02-01","br"
11,"Look What You Made Me Do","Taylor Swift",0,"6uFsE1JgZ20EXyU0JQZbUR","2017-02-01","br"
11,"Ar-Condicionado No 15 - Ao Vivo","Wesley Safadão",0,"5ac0YTpOaDX9wEYYyGCglL","2017-02-01","br"
11,"New Rules","Dua Lipa",0,"2ekn2ttSfGqwhhate0LSR0","2017-02-01","br"
11,"Is That For Me","Alesso",0,"2KwojFDebQV4J2b0JMRR5Q","2017-02-01","br"
11,"Big Jet Plane","Alok",0,"1xd3OqTbx17HutN7RfJOTj","2017-02-01","br"
11,"Agora Vai Sentar","MC Jhowzinho e MC Kadinho",0,"0pDaqgIForVNO4jrtTxcWT","2017-02-01","br"
11,"Havana","Camila Cabello",0,"0ofbQMrRDsUaVKq2mGLEAb","2017-02-01","br"
11,"Permanecer","Lucas Lucco",0,"3sIMCkwUZbQbWeNOTG3ET4","2017-02-01","br"
11,"Deixa Ela Beijar","Matheus & Kauan",0,"7q5agbUOzZnVF4Yes3AD7I","2017-02-01","br"
11,"Vai malandra (feat. Tropkillaz e DJ Yuri Martins)","Anitta",0,"6u0EAxf1OJTLS7CvInuNd7","2017-02-01","br"
11,"Rabiola","MC Kevinho",0,"228vRHzGfQh47EfLjuY1Yr","2017-02-01","br"
1,"Shape of You","Ed Sheeran",12088842,"7qiZfU4dY1lWllzX7mPBI3","2017-03-01","br"
2,"Você Partiu Meu Coração","Nego do Borel",9774415,"0u8aj0c4IxeVSLTUuuq9V5","2017-03-01","br"
3,"Hear Me Now","Alok",8286458,"1a5Yu5L18qNxVhXx38njON","2017-03-01","br"
4,"Loka","Simone & Simaria",7854977,"257tme6AhneIKAqVF1HTH4","2017-03-01","br"
5,"Vidinha de Balada - Ao Vivo","Henrique & Juliano",7121267,"4FHw39Ke6pVt5tNKvLr4r3","2017-03-01","br"
6,"Olha a Explosão","MC Kevinho",7056908,"6m2LNopVJKsvBB9l7Z1rwn","2017-03-01","br"
7,"Te Assumi Pro Brasil - Ao Vivo","Matheus & Kauan",6544134,"2d3TbSkAscvT3QRQalq6uT","2017-03-01","br"
8,"Acordando o Prédio","Luan Santana",5326825,"40bK2uosUmAS92c17n98xd","2017-03-01","br"
9,"Malbec (Part. Dennis Dj) - Ao Vivo","Henrique & Diego",3886456,"5SnQDj5REQVvAdSlhqkEcE","2017-03-01","br"
10,"Vai Embrazando","Mc Zaac",1311320,"1zhfU6YXa2pXUAQdG1NvBZ","2017-03-01","br"
11,"Deu Onda","MC G15",0,"0EPxmvsG1BY5td4aTOkWBF","2017-03-01","br"
11,"Closer","The Chainsmokers",0,"7BKLCZ1jbUBVqRi2FVlTVw","2017-03-01","br"
11,"Downtown","Anitta",0,"3Ga6eKrUFf12ouh9Yw3v2D","2017-03-01","br"
11,"Eu Sei de Cor - Ao Vivo | Acústico","Marília Mendonça",0,"45wqPwIH4A5cr2IyyD4WKf","2017-03-01","br"
11,"Amar Amei","Mc Don Juan",0,"1kNVJQEkobOlyfbctPZ4fs","2017-03-01","br"
11,"Chained To The Rhythm","Katy Perry",0,"6520aj0B4FSKGVuKNsOCOi","2017-03-01","br"
11,"O Grave Bater","MC Kevinho",0,"1bUazU9SSOh02AdlOPeTvm","2017-03-01","br"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-03-01","br"
11,"Joga o Bum Bum Tamtam","MC Fioti",0,"7KBfjlQ85Fqs2MCCvXSW0c","2017-03-01","br"
11,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",0,"4aWmUDTfIPGksMNLV2rQP2","2017-03-01","br"
11,"Never Let Me Go","Alok",0,"06ZpMjkNdIDKVf3mK29UiC","2017-03-01","br"
11,"Switch","Iggy Azalea",0,"02LZ1fGJE8fB56yTlCVMEV","2017-03-01","br"
11,"Paradinha","Anitta",0,"05rJdH2MRLJ3sQoEUO78qs","2017-03-01","br"
11,"Sua Cara (feat. Anitta & Pabllo Vittar)","Major Lazer",0,"5gUFvcHTgDNthj7DmZl2L7","2017-03-01","br"
11,"K.O.","Pabllo Vittar",0,"1J0iYsJuVhqfDhBoSLuO9A","2017-03-01","br"
11,"Fazer Falta","Mc Livinho",0,"6pSYjx66rlqRmGGTHhnjCo","2017-03-01","br"
11,"Vidinha de Balada - Ao Vivo","Henrique & Juliano",0,"2g2ZjM1GjY9Lf2Ff0L94Ul","2017-03-01","br"
11,"Sua Cara (feat. Anitta & Pabllo Vittar)","Major Lazer",0,"3ibRxEv4KkcU9e259eyNJA","2017-03-01","br"
11,"Encaixa","MC Kevinho",0,"7yYOMPwpV5CsK0cxoAZT6B","2017-03-01","br"
11,"Deixe Me Ir - Acústico","1Kilo",0,"2srL4DYBekshpbprS6H0mO","2017-03-01","br"
11,"K.O.","Pabllo Vittar",0,"3zDNvfOirISKzV3I6tSRN1","2017-03-01","br"
11,"Cara Bacana","MC G15",0,"4BjPsq3MXBNo4Qxg40igEr","2017-03-01","br"
11,"K.O.","Pabllo Vittar",0,"5zSiXA70xM4kuSt6qim6jl","2017-03-01","br"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-03-01","br"
11,"Corpo Sensual","Pabllo Vittar",0,"4kkQGhScJDzNIIGavQE9SN","2017-03-01","br"
11,"Raspão - Ao Vivo","Henrique & Diego",0,"6gquljDBW7rE6mCBzmTRxo","2017-03-01","br"
11,"Look What You Made Me Do","Taylor Swift",0,"6uFsE1JgZ20EXyU0JQZbUR","2017-03-01","br"
11,"Ar-Condicionado No 15 - Ao Vivo","Wesley Safadão",0,"5ac0YTpOaDX9wEYYyGCglL","2017-03-01","br"
11,"New Rules","Dua Lipa",0,"2ekn2ttSfGqwhhate0LSR0","2017-03-01","br"
11,"Is That For Me","Alesso",0,"2KwojFDebQV4J2b0JMRR5Q","2017-03-01","br"
11,"Big Jet Plane","Alok",0,"1xd3OqTbx17HutN7RfJOTj","2017-03-01","br"
11,"Agora Vai Sentar","MC Jhowzinho e MC Kadinho",0,"0pDaqgIForVNO4jrtTxcWT","2017-03-01","br"
11,"Havana","Camila Cabello",0,"0ofbQMrRDsUaVKq2mGLEAb","2017-03-01","br"
11,"Permanecer","Lucas Lucco",0,"3sIMCkwUZbQbWeNOTG3ET4","2017-03-01","br"
11,"Deixa Ela Beijar","Matheus & Kauan",0,"7q5agbUOzZnVF4Yes3AD7I","2017-03-01","br"
11,"Vai malandra (feat. Tropkillaz e DJ Yuri Martins)","Anitta",0,"6u0EAxf1OJTLS7CvInuNd7","2017-03-01","br"
11,"Rabiola","MC Kevinho",0,"228vRHzGfQh47EfLjuY1Yr","2017-03-01","br"
1,"Shape of You","Ed Sheeran",10538820,"7qiZfU4dY1lWllzX7mPBI3","2017-04-01","br"
2,"Vai Embrazando","Mc Zaac",9713145,"1zhfU6YXa2pXUAQdG1NvBZ","2017-04-01","br"
3,"Você Partiu Meu Coração","Nego do Borel",8151344,"0u8aj0c4IxeVSLTUuuq9V5","2017-04-01","br"
4,"O Grave Bater","MC Kevinho",7893516,"1bUazU9SSOh02AdlOPeTvm","2017-04-01","br"
5,"Hear Me Now","Alok",7445506,"1a5Yu5L18qNxVhXx38njON","2017-04-01","br"
6,"Despacito - Remix","Luis Fonsi",6160710,"5CtI0qwDJkDQGwXD1H1cLb","2017-04-01","br"
7,"Loka","Simone & Simaria",6046925,"257tme6AhneIKAqVF1HTH4","2017-04-01","br"
8,"Te Assumi Pro Brasil - Ao Vivo","Matheus & Kauan",6315093,"2d3TbSkAscvT3QRQalq6uT","2017-04-01","br"
9,"Joga o Bum Bum Tamtam","MC Fioti",4473070,"7KBfjlQ85Fqs2MCCvXSW0c","2017-04-01","br"
10,"Vidinha de Balada - Ao Vivo","Henrique & Juliano",3864406,"4FHw39Ke6pVt5tNKvLr4r3","2017-04-01","br"
11,"Deu Onda","MC G15",0,"0EPxmvsG1BY5td4aTOkWBF","2017-04-01","br"
11,"Closer","The Chainsmokers",0,"7BKLCZ1jbUBVqRi2FVlTVw","2017-04-01","br"
11,"Downtown","Anitta",0,"3Ga6eKrUFf12ouh9Yw3v2D","2017-04-01","br"
11,"Eu Sei de Cor - Ao Vivo | Acústico","Marília Mendonça",0,"45wqPwIH4A5cr2IyyD4WKf","2017-04-01","br"
11,"Olha a Explosão","MC Kevinho",0,"6m2LNopVJKsvBB9l7Z1rwn","2017-04-01","br"
11,"Amar Amei","Mc Don Juan",0,"1kNVJQEkobOlyfbctPZ4fs","2017-04-01","br"
11,"Chained To The Rhythm","Katy Perry",0,"6520aj0B4FSKGVuKNsOCOi","2017-04-01","br"
11,"Acordando o Prédio","Luan Santana",0,"40bK2uosUmAS92c17n98xd","2017-04-01","br"
11,"Malbec (Part. Dennis Dj) - Ao Vivo","Henrique & Diego",0,"5SnQDj5REQVvAdSlhqkEcE","2017-04-01","br"
11,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",0,"4aWmUDTfIPGksMNLV2rQP2","2017-04-01","br"
11,"Never Let Me Go","Alok",0,"06ZpMjkNdIDKVf3mK29UiC","2017-04-01","br"
11,"Switch","Iggy Azalea",0,"02LZ1fGJE8fB56yTlCVMEV","2017-04-01","br"
11,"Paradinha","Anitta",0,"05rJdH2MRLJ3sQoEUO78qs","2017-04-01","br"
11,"Sua Cara (feat. Anitta & Pabllo Vittar)","Major Lazer",0,"5gUFvcHTgDNthj7DmZl2L7","2017-04-01","br"
11,"K.O.","Pabllo Vittar",0,"1J0iYsJuVhqfDhBoSLuO9A","2017-04-01","br"
11,"Fazer Falta","Mc Livinho",0,"6pSYjx66rlqRmGGTHhnjCo","2017-04-01","br"
11,"Vidinha de Balada - Ao Vivo","Henrique & Juliano",0,"2g2ZjM1GjY9Lf2Ff0L94Ul","2017-04-01","br"
11,"Sua Cara (feat. Anitta & Pabllo Vittar)","Major Lazer",0,"3ibRxEv4KkcU9e259eyNJA","2017-04-01","br"
11,"Encaixa","MC Kevinho",0,"7yYOMPwpV5CsK0cxoAZT6B","2017-04-01","br"
11,"Deixe Me Ir - Acústico","1Kilo",0,"2srL4DYBekshpbprS6H0mO","2017-04-01","br"
11,"K.O.","Pabllo Vittar",0,"3zDNvfOirISKzV3I6tSRN1","2017-04-01","br"
11,"Cara Bacana","MC G15",0,"4BjPsq3MXBNo4Qxg40igEr","2017-04-01","br"
